N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,LP_LOWER_BOUND,LP_UPPER_BOUND,LP_SECONDS_TAKEN,TRUE_VALUE
1,1,0.1015136728234905,0.1210499849233398,7.0,6.0,0.1055901050567627,0.1015136728234905,0.1210499849233398,0.1055901050567627,0.1127600809706763
1,1,0.1055941547729532,0.1258364577593685,7.0,6.0,0.1052720546722412,0.1055941547729532,0.1258364577593684,0.1052720546722412,0.1161729053017669
2,1,0.5366947526017922,0.7525277443142481,13.0,15.0,0.2808597087860107,0.5366947526017923,0.7525277443142481,0.2808597087860107,0.5423326978405719
2,1,0.5399409094905913,0.7630757430095549,16.0,15.0,0.3015718460083008,0.5399409094905913,0.7630757430095548,0.3015718460083008,0.546009770066223
2,1,0.5435489813780823,0.7547442610086622,13.0,15.0,0.8515317440032959,0.5435489813780822,0.7547442610086622,0.8515317440032959,0.5492977838914379
2,1,0.5278731155920809,0.7653433675054365,13.0,14.0,0.2800469398498535,0.527873115592081,0.7653433675054363,0.2800469398498535,0.5302442023183075
2,1,0.546635992426574,0.7620307558300091,12.0,16.0,0.2817862033843994,0.5466359924265739,0.7620307558300092,0.2817862033843994,0.5496026746626376
2,1,0.5337092698585749,0.7468992277641501,12.0,14.0,0.2686440944671631,0.5337092698585747,0.74689922776415,0.2686440944671631,0.5407104249305865
2,1,0.5451621495468166,0.750920804670569,13.0,15.0,0.2798230648040771,0.545162149546817,0.7509208046705691,0.2798230648040771,0.5538611744877294
2,1,0.5361762540010316,0.7463559853830805,13.0,15.0,0.2809469699859619,0.5361762540010315,0.7463559853830805,0.2809469699859619,0.5403201551683067
2,1,0.5437025472473296,0.7529939742536294,12.0,15.0,0.2749049663543701,0.5437025472473296,0.7529939742536292,0.2749049663543701,0.5457574804826998
2,1,0.5407751874349886,0.7554678200203834,12.0,15.0,0.271857738494873,0.5407751874349886,0.7554678200203833,0.271857738494873,0.5470390100017021
2,1,0.5361914910756593,0.7448282672563576,11.0,15.0,0.2714426517486572,0.5361914910756596,0.7448282672563576,0.2714426517486572,0.5363036847389341
2,1,0.5394124340220178,0.751503487407631,13.0,14.0,0.2776224613189697,0.5394124340220177,0.7515034874076307,0.2776224613189697,0.5459467481797549
2,1,0.5327284252092875,0.7533944748065077,12.0,15.0,0.2810382843017578,0.5327284252092875,0.7533944748065077,0.2810382843017578,0.5328473153787455
2,1,0.5331144552479122,0.7521766551527862,12.0,15.0,0.2773318290710449,0.5331144552479122,0.7521766551527863,0.2773318290710449,0.5393133321875518
