N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,LP_LOWER_BOUND,LP_UPPER_BOUND,LP_SECONDS_TAKEN,TRUE_VALUE
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8803298473358154,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8702068328857422,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8697531223297119,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8683209419250488,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8705546855926514,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8752784729003906,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8784115314483643,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8749489784240723,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.867964506149292,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8739528656005859,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8699741363525391,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8787636756896973,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8741269111633301,,,,0.5559538150681963
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.5435891151428223,,,,0.1099299650479774
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.5424027442932129,,,,0.1099299650479774
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.5434541702270508,,,,0.1099299650479774
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.5428867340087891,,,,0.1099299650479774
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.5420393943786621,,,,0.1099299650479774
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.5443129539489746,,,,0.1099299650479774
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.5432283878326416,,,,0.1099299650479774
